trip_id,date,time,transport_type,route_id,origin_station,destination_station,scheduled_departure,scheduled_arrival,actual_departure_delay_min,actual_arrival_delay_min,passenger_count,capacity_percentage,trip_status,delayed,peak_hour,weekday,datetime,hour,day_name,on_time,delayed_5min,trip_duration_min
T00000,2023-01-01,05:00:00,Tram,Route_15,Station_31,Station_6,05:02:00,05:55:00,12,3,43,27,Completed,0,1,6,2023-01-01 05:00:00,5,Sunday,0,0,53.0
T00001,2023-01-01,05:15:00,Metro,Route_12,Station_49,Station_32,05:16:00,05:55:00,15,9,56,94,Completed,1,0,6,2023-01-01 05:15:00,5,Sunday,0,1,39.0
T00002,2023-01-01,05:30:00,Bus,Route_16,Station_29,Station_42,05:33:00,06:17:00,0,0,33,109,Completed,0,0,6,2023-01-01 05:30:00,5,Sunday,1,0,44.0
T00003,2023-01-01,05:45:00,Tram,Route_19,Station_26,Station_18,05:49:00,06:08:00,15,10,19,61,Completed,1,0,6,2023-01-01 05:45:00,5,Sunday,0,1,19.0
T00004,2023-01-01,06:00:00,Tram,Route_8,Station_18,Station_15,06:00:00,06:35:00,-1,14,47,55,Completed,1,0,6,2023-01-01 06:00:00,6,Sunday,0,1,35.0
T00005,2023-01-01,06:15:00,Metro,Route_17,Station_32,Station_40,06:15:00,06:56:00,7,4,12,53,Completed,0,0,6,2023-01-01 06:15:00,6,Sunday,0,0,41.0
T00006,2023-01-01,06:30:00,Bus,Route_5,Station_22,Station_32,06:34:00,07:01:00,8,28,25,31,Completed,1,1,6,2023-01-01 06:30:00,6,Sunday,0,1,27.0
T00007,2023-01-01,06:45:00,Bus,Route_16,Station_38,Station_9,06:47:00,07:20:00,0,23,43,62,Completed,1,0,6,2023-01-01 06:45:00,6,Sunday,0,1,33.0
T00008,2023-01-01,07:00:00,Tram,Route_6,Station_17,Station_37,07:01:00,07:59:00,4,19,23,68,Completed,1,0,6,2023-01-01 07:00:00,7,Sunday,0,1,58.0
T00009,2023-01-01,07:15:00,Train,Route_8,Station_23,Station_10,07:17:00,08:12:00,5,3,27,103,Completed,0,0,6,2023-01-01 07:15:00,7,Sunday,0,0,55.0
T00010,2023-01-01,07:30:00,Tram,Route_18,Station_24,Station_20,07:30:00,08:26:00,16,8,15,39,Completed,1,0,6,2023-01-01 07:30:00,7,Sunday,0,1,56.0
T00011,2023-01-01,07:45:00,Tram,Route_12,Station_50,Station_6,07:49:00,08:33:00,15,21,15,17,Completed,1,0,6,2023-01-01 07:45:00,7,Sunday,0,1,44.0
T00012,2023-01-01,08:00:00,Tram,Route_15,Station_8,Station_48,08:04:00,08:37:00,10,-1,28,107,Completed,0,0,6,2023-01-01 08:00:00,8,Sunday,1,0,33.0
T00013,2023-01-01,08:15:00,Tram,Route_9,Station_41,Station_3,08:17:00,08:44:00,10,22,57,66,Completed,1,1,6,2023-01-01 08:15:00,8,Sunday,0,1,27.0
T00014,2023-01-01,08:30:00,Metro,Route_13,Station_6,Station_42,08:32:00,09:28:00,16,0,40,82,Completed,0,0,6,2023-01-01 08:30:00,8,Sunday,1,0,56.0
T00015,2023-01-01,08:45:00,Bus,Route_15,Station_5,Station_11,08:46:00,09:22:00,9,11,44,29,Completed,1,0,6,2023-01-01 08:45:00,8,Sunday,0,1,36.0
T00016,2023-01-01,09:00:00,Metro,Route_10,Station_44,Station_43,09:03:00,09:20:00,14,28,28,34,Completed,1,0,6,2023-01-01 09:00:00,9,Sunday,0,1,17.0
T00017,2023-01-01,09:15:00,Metro,Route_16,Station_29,Station_17,09:18:00,10:13:00,19,25,7,28,Completed,1,0,6,2023-01-01 09:15:00,9,Sunday,0,1,55.0
T00018,2023-01-01,09:30:00,Metro,Route_7,Station_28,Station_32,09:31:00,10:10:00,9,6,26,14,Completed,1,1,6,2023-01-01 09:30:00,9,Sunday,0,1,39.0
T00019,2023-01-01,09:45:00,Tram,Route_17,Station_11,Station_4,09:48:00,10:05:00,10,17,57,84,Completed,1,0,6,2023-01-01 09:45:00,9,Sunday,0,1,17.0
T00020,2023-01-01,10:00:00,Train,Route_7,Station_1,Station_4,10:00:00,10:34:00,9,12,6,88,Completed,1,0,6,2023-01-01 10:00:00,10,Sunday,0,1,34.0
T00021,2023-01-01,10:15:00,Bus,Route_14,Station_43,Station_17,10:18:00,10:38:00,16,15,28,81,Completed,1,0,6,2023-01-01 10:15:00,10,Sunday,0,1,20.0
T00022,2023-01-01,10:30:00,Train,Route_15,Station_19,Station_41,10:31:00,11:09:00,11,25,48,92,Completed,1,0,6,2023-01-01 10:30:00,10,Sunday,0,1,38.0
T00023,2023-01-01,10:45:00,Metro,Route_7,Station_9,Station_19,10:48:00,11:14:00,4,14,34,96,Completed,1,1,6,2023-01-01 10:45:00,10,Sunday,0,1,26.0
T00024,2023-01-01,11:00:00,Metro,Route_9,Station_27,Station_5,11:04:00,11:42:00,10,12,42,36,Completed,1,0,6,2023-01-01 11:00:00,11,Sunday,0,1,38.0
T00025,2023-01-01,11:15:00,Train,Route_19,Station_34,Station_32,11:17:00,12:08:00,3,-3,6,49,Completed,0,0,6,2023-01-01 11:15:00,11,Sunday,1,0,51.0
T00026,2023-01-01,11:30:00,Train,Route_16,Station_44,Station_22,11:30:00,12:22:00,16,-2,25,105,Completed,0,0,6,2023-01-01 11:30:00,11,Sunday,1,0,52.0
T00027,2023-01-01,11:45:00,Train,Route_8,Station_4,Station_6,11:49:00,12:38:00,16,11,37,35,Completed,1,0,6,2023-01-01 11:45:00,11,Sunday,0,1,49.0
T00028,2023-01-01,12:00:00,Metro,Route_18,Station_36,Station_35,12:04:00,12:58:00,1,24,16,36,Completed,1,0,6,2023-01-01 12:00:00,12,Sunday,0,1,54.0
T00029,2023-01-01,12:15:00,Metro,Route_18,Station_18,Station_22,12:16:00,12:44:00,16,-3,26,71,Completed,0,1,6,2023-01-01 12:15:00,12,Sunday,1,0,28.0
T00030,2023-01-01,12:30:00,Bus,Route_20,Station_15,Station_1,12:32:00,13:09:00,6,1,48,92,Completed,0,0,6,2023-01-01 12:30:00,12,Sunday,0,0,37.0
T00031,2023-01-01,12:45:00,Bus,Route_7,Station_13,Station_20,12:47:00,13:05:00,13,18,29,59,Completed,1,1,6,2023-01-01 12:45:00,12,Sunday,0,1,18.0
T00032,2023-01-01,13:00:00,Metro,Route_3,Station_19,Station_22,13:00:00,13:32:00,1,9,53,51,Completed,1,0,6,2023-01-01 13:00:00,13,Sunday,0,1,32.0
T00033,2023-01-01,13:15:00,Train,Route_18,Station_49,Station_48,13:16:00,13:35:00,3,-3,31,38,Completed,0,1,6,2023-01-01 13:15:00,13,Sunday,1,0,19.0
T00034,2023-01-01,13:30:00,Train,Route_10,Station_6,Station_11,13:30:00,13:54:00,5,12,46,48,Completed,1,0,6,2023-01-01 13:30:00,13,Sunday,0,1,24.0
