trip_id,date,time,transport_type,route_id,origin_station,destination_station,scheduled_departure,scheduled_arrival,actual_departure_delay_min,actual_arrival_delay_min,weather_condition,temperature_C,humidity_percent,wind_speed_kmh,precipitation_mm,event_type,event_attendance_est,traffic_congestion_index,holiday,peak_hour,weekday,season,delayed,passenger_count,capacity_percentage,trip_status
T00000,2023-01-01,05:00:00,Tram,Route_15,Station_31,Station_6,05:02:00,05:55:00,12,3,Storm,5.1,52,46,13.0,,500,81,0,1,6,Winter,0,43,27,Completed
T00001,2023-01-01,05:15:00,Metro,Route_12,Station_49,Station_32,05:16:00,05:55:00,15,9,Rain,34.0,64,11,11.4,,0,53,0,0,6,Autumn,1,56,94,Completed
T00002,2023-01-01,05:30:00,Bus,Route_16,Station_29,Station_42,05:33:00,06:17:00,0,0,Clear,29.5,35,31,14.1,Sports,0,67,1,0,6,Autumn,0,33,109,Completed
T00003,2023-01-01,05:45:00,Tram,Route_19,Station_26,Station_18,05:49:00,06:08:00,15,10,Clear,27.4,55,41,6.4,,500,84,0,0,6,Winter,1,19,61,Completed
T00004,2023-01-01,06:00:00,Tram,Route_8,Station_18,Station_15,06:00:00,06:35:00,-1,14,Snow,0.1,90,30,18.5,,500,46,0,0,6,Spring,1,47,55,Completed
T00005,2023-01-01,06:15:00,Metro,Route_17,Station_32,Station_40,06:15:00,06:56:00,7,4,Rain,25.2,44,21,2.3,Protest,0,41,0,0,6,Spring,0,12,53,Completed
T00006,2023-01-01,06:30:00,Bus,Route_5,Station_22,Station_32,06:34:00,07:01:00,8,28,Storm,3.6,61,16,6.4,Parade,0,22,1,1,6,Spring,1,25,31,Completed
T00007,2023-01-01,06:45:00,Bus,Route_16,Station_38,Station_9,06:47:00,07:20:00,0,23,Clear,34.1,41,19,0.6,,0,85,0,0,6,Spring,1,43,62,Completed
T00008,2023-01-01,07:00:00,Tram,Route_6,Station_17,Station_37,07:01:00,07:59:00,4,19,Clear,-2.9,34,19,5.4,Concert,500,64,0,0,6,Summer,1,23,68,Completed
T00009,2023-01-01,07:15:00,Train,Route_8,Station_23,Station_10,07:17:00,08:12:00,5,3,Fog,9.1,93,42,4.4,,50000,88,0,0,6,Summer,0,27,103,Completed
T00010,2023-01-01,07:30:00,Tram,Route_18,Station_24,Station_20,07:30:00,08:26:00,16,8,Snow,12.1,56,7,1.0,,0,53,0,0,6,Winter,1,15,39,Completed
T00011,2023-01-01,07:45:00,Tram,Route_12,Station_50,Station_6,07:49:00,08:33:00,15,21,Cloudy,28.0,74,46,9.8,,2000,91,0,0,6,Summer,1,15,17,Completed
T00012,2023-01-01,08:00:00,Tram,Route_15,Station_8,Station_48,08:04:00,08:37:00,10,-1,Clear,25.6,64,33,9.4,Parade,0,10,0,0,6,Summer,0,28,107,Completed
T00013,2023-01-01,08:15:00,Tram,Route_9,Station_41,Station_3,08:17:00,08:44:00,10,22,Storm,10.0,55,48,1.6,,10000,62,0,1,6,Summer,1,57,66,Completed
T00014,2023-01-01,08:30:00,Metro,Route_13,Station_6,Station_42,08:32:00,09:28:00,16,0,Storm,17.6,52,22,5.2,,500,21,0,0,6,Winter,0,40,82,Completed
T00015,2023-01-01,08:45:00,Bus,Route_15,Station_5,Station_11,08:46:00,09:22:00,9,11,Fog,28.4,42,37,19.1,,500,53,0,0,6,Summer,1,44,29,Completed
T00016,2023-01-01,09:00:00,Metro,Route_10,Station_44,Station_43,09:03:00,09:20:00,14,28,Storm,-4.3,32,52,2.2,Festival,0,88,0,0,6,Spring,1,28,34,Completed
T00017,2023-01-01,09:15:00,Metro,Route_16,Station_29,Station_17,09:18:00,10:13:00,19,25,Fog,27.1,58,27,6.1,,0,84,0,0,6,Spring,1,7,28,Completed
T00018,2023-01-01,09:30:00,Metro,Route_7,Station_28,Station_32,09:31:00,10:10:00,9,6,Clear,32.9,95,12,0.7,,2000,35,0,1,6,Winter,1,26,14,Completed
